900	прошлый	8	0.0
901	богатырской	8	0.0
902	дошлый	8	0.0
903	выкидывать	8	0.0
904	бороться	8	0.0
905	смелый	8	0.0
906	отталкивать	8	0.0
907	ляховинский	8	0.0
908	шляпа	8	0.0
909	засвистать	8	0.0
910	восударь	8	0.0
911	восточный	8	0.0
912	илюшенек	8	0.0
913	боголюб	8	0.0
914	муромцть	8	0.0
915	мужичка	8	0.0
916	омешик	8	0.0
917	амелф	7	0.0
918	путём	7	0.0
919	сметь	7	0.0
920	якорь	7	0.0
921	выводить	7	0.0
922	стул	7	0.0
923	ество	7	0.0
924	платьице	7	0.0
925	сладкое	7	0.0
926	новгород	7	0.0
927	помахивать	7	0.0
928	шалыга	7	0.0
929	деяться	7	0.0
930	новгородскиия	7	0.0
931	лавка	7	0.0
932	знаешь	7	0.0
933	похвальба	7	0.0
934	счёт	7	0.0
935	черлёный	7	0.0
936	таковой	7	0.0
937	полететь	7	0.0
938	полно	7	0.0
939	старик	7	0.0
940	перво	7	0.0
941	повыдернуть	7	0.0
942	встречать	7	0.0
943	пригородок	7	0.0
944	лисица	7	0.0
945	ехатить	7	0.0
946	скричать	7	0.0
947	едва	7	0.0
948	питие	7	0.0
949	чашник	7	0.0
950	приезд	7	0.0
951	оглянуться	7	0.0
952	промежа	7	0.0
953	глупый	7	0.0
954	немало	7	0.0
955	спросить	7	0.0
956	отворять	7	0.0
957	позолотить	7	0.0
958	леса	7	0.0
959	седло	7	0.0
960	уйти	7	0.0
961	красота	7	0.0
962	блудов	7	0.0
963	стало́	7	0.0
964	чисто́м	7	0.0
965	повыручить	7	0.0
966	камение	7	0.0
967	хвост	7	0.0
968	дарить	7	0.0
969	цена	7	0.0
970	прибавлять	7	0.0
971	белополотняный	7	0.0
972	ордынскиий	7	0.0
973	снаряжаться	7	0.0
974	заезжать	7	0.0
975	белояровый	7	0.0
976	колода	7	0.0
977	прут	7	0.0
978	окаянный	7	0.0
979	побежалый	7	0.0
980	царица	7	0.0
981	е	7	0.0
982	искать	7	0.0
983	кинуть	7	0.0
984	столько	7	0.0
985	увезти	7	0.0
986	здравый	7	0.0
987	подъезжать	7	0.0
988	гнедой	7	0.0
989	лютый	7	0.0
990	делатить	7	0.0
991	опустить	7	0.0
992	пороть	7	0.0
993	колечко	7	0.0
994	уехатить	7	0.0
995	бурка	7	0.0
996	величать	7	0.0
997	времечко	7	0.0
998	беть	7	0.0
999	собирать	7	0.0
1000	корсунь	7	0.0
1001	перчатка	7	0.0
1002	жо	7	0.0
1003	оставлять	7	0.0
1004	наугольный	7	0.0
1005	ретивый	7	0.0
1006	весточка	7	0.0
1007	рязанюшка	7	0.0
1008	хотеться	7	0.0
1009	старо́ть	7	0.0
1010	бас	7	0.0
1011	бога́тырить	7	0.0
1012	черкасский	7	0.0
1013	сказывать	7	0.0
1014	трава	7	0.0
1015	захотеть	7	0.0
1016	татарский	7	0.0
1017	съезжаться	7	0.0
1018	батвесова	7	0.0
1019	потятичный	7	0.0
1020	срок	7	0.0
1021	старенький	7	0.0
